text,true_emotion,predicted_emotion
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,anger
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
@RyanAbe awe yay thank god I was so worried.,fear,joy
Nothing worse than an uber driver that can't drive. #awful,fear,anger
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,fear
Not the best horror ever but I like that the uncertainty,fear,fear
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
"@spencer0415 awe, I love you kid!!",fear,joy
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,sadness
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy
@hesham786 that's the spirit #optimism,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,anger
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
Somebody who has braved the storm is brewing. #cheerful,joy,joy
@bruins_514 @gorddownie @thehipdotcom It would be #TragicallyHip if they can #help @TOYSFORASMILE make #hospitalized  #sick #kids #smile 😊✌❤,joy,joy
@harrietemmett great minds think alike. ,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,anger
This world has some serious issues we should all go to therapy,sadness,sadness
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,sadness,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,joy
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
Should of stayed in Dubai 😞,sadness,sadness
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,anger
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",sadness,anger
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,anger
My life went from happy to unhappy..,sadness,sadness
